"full_name","number_movies_not_returned"
"Tammy Sanders","3"
"Helen Harris","2"
"Christine Roberts","2"
"Annette Olson","2"
"Miguel Betancourt","2"
"Morris Mccarter","2"
"Mildred Bailey","2"
"Carolyn Perez","2"
"Sonia Gregory","2"
"Natalie Meyer","2"
"Elmer Noe","2"
"Lawrence Lawton","2"
"Cassandra Walters","2"
"Jordan Archuleta","2"
"Gail Knight","2"
"Lucy Wheeler","2"
"Allison Stanley","2"
"Florence Woods","2"
"Bill Gavin","2"
"Margie Wade","2"
"Cathy Spencer","2"
"Justin Ngo","2"
"Heather Morris","2"
